time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
3889,-7118.885067550001,781.0,212,165572,42,164791,-92080.70232474392,0.001,11173904.085647408
3909,-7101.2640675500015,781.0,213,166353,42,165572,-91701.49592869719,0.001,10454029.139674695
3929,-7076.26935762,781.0,214,167134,42,166353,-91427.37639044494,0.001,7969917.467569622
3949,-7048.24930837,781.0,215,167915,42,167134,-91120.11207586428,0.001,9772118.005381722
3969,-7086.89304407,781.0,216,168696,42,167915,-90383.35516365236,0.001,9517019.030829865
3993,-7098.50011687,781.0,217,169477,42,168696,-89924.82415372919,0.001,10930391.651118359
4012,-7155.505661970001,781.0,218,170258,42,169477,-89473.2197003041,0.001,9237763.126060339
4032,-7200.32793832,781.0,219,171039,42,170258,-88802.01934619078,0.001,11811662.113496318
4051,-7251.31187717,781.0,220,171820,42,171039,-88265.36484675096,0.001,9588192.930697823
4071,-7316.625374179999,781.0,221,172601,42,171820,-87960.65948103393,0.001,10276213.880411731
4091,-7359.997815299999,781.0,222,173382,42,172601,-87342.99864956786,0.001,9304543.28058979
4113,-7363.61035195,781.0,223,174163,42,173382,-86675.4268365877,0.001,10197420.06306018
4133,-7372.10859301,781.0,224,174944,42,174163,-85884.8797515205,0.001,10834932.886603713
4153,-7387.398229830002,781.0,225,175725,42,174944,-85513.62767085468,0.001,10528132.81024928
4173,-7403.26456395,781.0,226,176506,42,175725,-85164.10952504801,0.001,8339135.717549616
4192,-7415.702443760001,781.0,227,177287,42,176506,-84892.29532450384,0.001,9172115.837668054
4212,-7371.843027389999,781.0,228,178068,42,177287,-84673.40484955185,0.001,8408110.083526729
4231,-7359.138927530002,781.0,229,178849,42,178068,-84275.27960947504,0.001,8348318.923305457
4251,-7376.938287600001,781.0,230,179630,42,178849,-83909.5448543534,0.001,8984162.17165493
4271,-7452.859741340001,781.0,231,180411,42,179630,-83279.8525728233,0.001,7702099.892975752
4291,-7494.957105500001,781.0,232,181192,42,180411,-82723.91442261524,0.001,8811945.664542655
4312,-7499.19109644,781.0,233,181973,42,181192,-82126.47243117797,0.001,8666305.269576265
4331,-7542.64731335,781.0,234,182754,42,181973,-81359.6825984315,0.001,7415832.162802096
4351,-7557.798139740001,781.0,235,183535,42,182754,-80760.95303497119,0.001,8401236.592449583
4370,-7585.667833490001,781.0,236,184316,42,183535,-79923.77380761843,0.001,8725806.509362996
4390,-7591.11608578,781.0,237,185097,42,184316,-79058.52758882842,0.001,8067153.828014965
4409,-7639.58682194,781.0,238,185878,42,185097,-78359.48450504162,0.001,7503646.80240677
4429,-7646.902805679999,781.0,239,186659,42,185878,-77752.60887483995,0.001,7043156.217519606
4449,-7651.545310160001,781.0,240,187440,42,186659,-77125.59020886684,0.001,7972230.9968890045
4469,-7587.932555580001,781.0,241,188221,42,187440,-76266.90878080986,0.001,6776120.246798975
4489,-7571.70922475,781.0,242,189002,42,188221,-75524.13221230794,0.001,7211182.548895647
4509,-7528.946940879999,781.0,243,189783,42,189002,-74685.64416613316,0.001,5784646.036411651
4528,-7528.77608327,781.0,244,190564,42,189783,-74169.74399807939,0.001,6966845.95112436
4548,-7588.40728834,781.0,245,191345,42,190564,-73382.64716709347,0.001,5789398.413452305
4567,-7604.26660175,781.0,246,192126,42,191345,-72699.71719950384,0.001,7505254.826474472
4587,-7552.85634141,781.0,247,192907,42,192126,-72102.95716629321,0.001,5734410.437910131
4606,-7560.522058660001,781.0,248,193688,42,192907,-71508.83462708067,0.001,6524423.376065341
4626,-7549.569633090001,781.0,249,194469,42,193688,-71028.73520526568,0.001,5794426.849051696
4646,-7515.21163469,781.0,250,195250,42,194469,-70442.20308998879,0.001,7568048.664362596
4666,-7528.945530490001,781.0,251,196031,42,195250,-69798.39796234795,0.001,5734280.5957306335
4686,-7485.62256754,781.0,252,196812,41,196031,-69243.49173235435,0.001,5535787.501760564
4707,-7487.625207690001,781.0,253,197593,41,196812,-68767.59351492478,0.001,5494247.576564501
4727,-7512.44130413,781.0,254,198374,41,197593,-68341.2900428137,0.001,5674812.513044174
4747,-7549.9788958399995,781.0,255,199155,41,198374,-67746.03481113956,0.001,5937750.6348231435
4768,-7606.2321659,781.0,256,199936,41,199155,-67341.96937019847,0.001,6260746.566176176
4787,-7648.88173045,781.0,257,200717,41,199936,-66997.02565821062,0.001,6118088.705285692
4807,-7663.717317799999,781.0,258,201498,41,200717,-66409.35485855474,0.001,6012483.63462308
4827,-7708.957723219999,781.0,259,202279,41,201498,-65894.32037752081,0.001,5217116.194232155
4847,-7700.832118099997,781.0,260,203060,41,202279,-65321.87199403809,0.001,6749141.701704546
4867,-7677.592452549999,781.0,261,203841,41,203060,-64752.83971870998,0.001,4608765.004111316
4887,-7702.21751582,781.0,262,204622,41,203841,-64313.73715588988,0.001,4457161.010268286
4907,-7752.794595809999,781.0,263,205403,41,204622,-63965.20029409411,0.001,4302258.6705595795
4926,-7803.4390036899995,781.0,264,206184,41,205403,-63470.74866457266,0.001,5214772.708221631
4946,-7789.37633327,781.0,265,206965,41,206184,-62970.11746258803,0.001,4314972.855953905
4966,-7855.741799319999,781.0,266,207746,41,206965,-62576.17557118278,0.001,5264388.122199104
4986,-7908.498527,781.0,267,208527,41,207746,-62191.36319622279,0.001,3856190.003731194
5005,-7916.5240271,781.0,268,209308,41,208527,-61651.78548135403,0.001,4571239.28981274
5025,-7955.40743309,781.0,269,210089,41,209308,-61164.47228613156,0.001,4466215.43443902
5045,-8014.9820797600005,781.0,270,210870,41,210089,-60815.435789452626,0.001,4300301.3829425415
5065,-8062.171575259999,781.0,271,211651,41,210870,-60342.878045974714,0.001,5081499.818391886
5085,-8083.534083720001,781.0,272,212432,41,211651,-59888.244203145005,0.001,4360367.807223312
5105,-8075.86241976,781.0,273,213213,41,212432,-59439.72922835307,0.001,3942636.283165613
5125,-8162.838053049999,781.0,274,213994,41,213213,-59248.29539952785,0.001,3884760.197418174
5145,-8097.415870039999,781.0,275,214775,41,213994,-58811.854658490716,0.001,4174642.601837588
5167,-8057.577458079999,781.0,276,215556,41,214775,-58246.648367477595,0.001,4239287.93787512
5186,-8094.20104788,781.0,277,216337,41,215556,-57910.59635583387,0.001,4471203.573058379
5205,-8092.8989712600005,781.0,278,217118,41,216337,-57457.789712708065,0.001,3193217.7105573784
5225,-8112.0577906299995,781.0,279,217899,41,217118,-56983.27316741357,0.001,4237984.339248559
5244,-8107.546357479999,781.0,280,218680,41,217899,-56603.240782050256,0.001,3300257.5049015684
5263,-8091.949679669999,781.0,281,219461,41,218680,-56206.696347831305,0.001,4045899.1761513683
5282,-8115.250512369999,781.0,282,220242,41,219461,-55840.994123119395,0.001,3389693.5889234557
5303,-8128.158698069999,781.0,283,221023,41,220242,-55430.8232084267,0.001,3592312.0394176138
5324,-8103.179445419998,781.0,284,221804,41,221023,-55097.28181518086,0.001,4632489.940786052
5343,-8130.710365479999,781.0,285,222585,41,221804,-54594.86239596671,0.001,3902114.6645026407
5363,-8151.08886031,781.0,286,223366,41,222585,-54276.03554137324,0.001,4363189.281234995
5381,-8178.6834830299995,781.0,287,224147,41,223366,-53845.76588508322,0.001,3723771.3724641884
5401,-8229.20262113,781.0,288,224928,41,224147,-53560.16171174776,0.001,3727900.9266515286
5421,-8221.38338934,781.0,289,225709,41,224928,-53239.884923175414,0.001,3448922.394396207
5440,-8257.39296298,781.0,290,226490,41,225709,-52886.16667833707,0.001,3327647.4295674614
5459,-8258.16977656,781.0,291,227271,41,226490,-52519.95336507683,0.001,2857652.94025088
5479,-8233.0006343,781.0,292,228052,41,227271,-52082.79971590909,0.001,3827264.3410641407
